TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000191593,0.000277587,0.000185445,0.000370365,0.000381061,0.000185205,0.000418504,0.00055017,0.000320388,0.000350711,0.000304023,0.000361536,0.000589451,0.000400133,0.000481773,0.000343945,0.000318682
7.97E-05,0.000289774,0.000198167,0.000380704,0.000395353,0.000188468,0.000423005,0.000475772,0.000353306,0.000351786,0.000317598,0.000379487,0.000586008,0.00035532,0.000468147,0.000318516,0.000303694
0.000470403,0.000326265,0.000211375,0.000418072,0.000415408,0.000205009,0.000451652,0.000688443,0.000384071,0.000371718,0.00035409,0.00041959,0.000586577,0.000360194,0.000462548,0.000306075,0.000311966
0.000227265,0.000354834,0.000236012,0.000438366,0.000442692,0.000226399,0.000473555,0.000564741,0.000409244,0.000403684,0.000396578,0.000453541,0.000577555,0.000349671,0.0004468,0.000285288,0.000298199
0.000192915,0.000301403,0.000190074,0.000390705,0.000399987,0.000217807,0.000415388,0.000522308,0.000373814,0.000381365,0.000357459,0.000394603,0.000578367,0.000334873,0.000429885,0.000287801,0.000327146
0.000196619,0.000193411,9.28E-05,0.000301145,0.000291727,0.000188359,0.000303394,0.000504995,0.000251321,0.000312478,0.000263206,0.000283805,0.000574812,0.00034448,0.000410443,0.000299019,0.000381216
0.000175555,0.000160142,4.97E-05,0.000265569,0.000242268,0.000172466,0.000263234,0.00051919,0.000205487,0.000279435,0.000226147,0.000252913,0.000572175,0.00027673,0.000381267,0.000274173,0.000357535
0.000140218,0.000190463,7.69E-05,0.000266726,0.000265457,0.000166977,0.000289294,0.000512251,0.000212921,0.000287475,0.000235488,0.000283852,0.000576688,0.000378614,0.000445311,0.000257227,0.000341478
0.000246857,0.000195818,7.94E-05,0.00027888,0.000289696,0.00014948,0.000290179,0.000576368,0.000266418,0.000304845,0.000239776,0.000291101,0.000579863,0.000446859,0.000425064,0.000246574,0.000328784
0.000106657,0.000179681,5.25E-05,0.000282229,0.000276709,0.000145197,0.000269224,0.000532636,0.00023732,0.000306459,0.000227402,0.000271563,0.000587026,0.000418314,0.000423483,0.000259113,0.000322831
0.000200145,0.000158144,4.27E-05,0.000240688,0.00024479,0.000155773,0.000239633,0.000527852,0.000194198,0.000308823,0.000221475,0.000257409,0.000571726,0.000426469,0.000423641,0.000240068,0.000307853
0.000190895,0.000179775,5.75E-05,0.000245689,0.00026199,0.000160168,0.000259315,0.000555929,0.000254376,0.000309975,0.000243898,0.000268441,0.000579631,0.000422835,0.000430469,0.000219751,0.000293545
0.000250014,0.000206992,8.97E-05,0.000294,0.000305161,0.000151371,0.000288385,0.000478004,0.000274206,0.000309899,0.000267304,0.000291179,0.000573905,0.000303003,0.000393842,0.000217233,0.000302625
0.00033548,0.000265066,0.000155743,0.00036151,0.000364645,0.000162216,0.000345374,0.000613122,0.000289812,0.000324257,0.000294745,0.000344057,0.000573225,0.000319464,0.000405215,0.000224904,0.000294844
0.000304085,0.000321154,0.000194648,0.000399007,0.000414264,0.000177843,0.000403153,0.00051907,0.000355133,0.000354122,0.000338003,0.000391161,0.000573088,0.000340256,0.000382383,0.000229116,0.000318765
0.000293488,0.000319807,0.000181167,0.000378982,0.000415282,0.00019194,0.000408314,0.000594893,0.000352963,0.00035918,0.000338728,0.000379975,0.000574408,0.000376229,0.00039107,0.000209688,0.000303024
0.000284384,0.000279552,0.00015279,0.000351251,0.000389636,0.000211867,0.00037564,0.000542906,0.000315328,0.000349577,0.000305188,0.000340659,0.000570424,0.000384886,0.000391465,0.000194157,0.000291354
0.000238352,0.000322425,0.000186008,0.000396978,0.000426894,0.000236314,0.000429621,0.000482935,0.000347665,0.000378344,0.000334923,0.000373943,0.000577731,0.00039209,0.000407461,0.000192536,0.00028111
0.0003284,0.000453257,0.000292357,0.000490971,0.000537169,0.000240685,0.00057296,0.000607622,0.000462465,0.000458825,0.000447647,0.000493458,0.000577362,0.000389448,0.000424635,0.000240136,0.000300316
0.000357652,0.00055099,0.000370746,0.00057055,0.00062812,0.000223651,0.000682093,0.000620863,0.000571317,0.000514606,0.000527545,0.000576621,0.000583936,0.00038832,0.000441469,0.000219084,0.000287083
0.00033687,0.000489989,0.000324211,0.000533721,0.000584358,0.000196758,0.000629926,0.000550511,0.000508562,0.000469621,0.000467463,0.000503527,0.00058507,0.000383355,0.00044932,0.0002063,0.000279396
0.000389177,0.000365603,0.000214483,0.000413686,0.000470935,0.000176412,0.000508757,0.000556586,0.000386407,0.000385492,0.000354389,0.000363201,0.000583747,0.000367872,0.00045748,0.000207608,0.000272458
0.000364098,0.000352021,0.000174996,0.000369207,0.000450995,0.000179493,0.000493465,0.000487612,0.000395478,0.000378837,0.000355973,0.00033196,0.00058417,0.000357435,0.000451106,0.000196417,0.000265255
0.000470157,0.000469239,0.000257329,0.00047191,0.000565414,0.000224191,0.000604121,0.000622199,0.000528797,0.000456793,0.000483838,0.000439127,0.000583614,0.000395766,0.000459227,0.000223685,0.000357872
0.000764052,0.000626479,0.000398174,0.000647547,0.000728487,0.000293411,0.000755561,0.000733323,0.00070258,0.000558125,0.000645786,0.000592727,0.000585476,0.000397381,0.000467953,0.000286576,0.000382153
0.00066204,0.000745576,0.000504372,0.000767353,0.000844839,0.000348122,0.000874306,0.000733517,0.000828724,0.000628276,0.000767026,0.000702994,0.000589684,0.000409583,0.000470882,0.000311429,0.000373049
0.001333467,0.000749085,0.000505684,0.00074702,0.000838551,0.000366228,0.000881008,0.001040122,0.000837591,0.000625261,0.000776861,0.000699722,0.000589335,0.000427191,0.000487169,0.00039457,0.000410281
0.000340957,0.000601374,0.000374253,0.000611035,0.000703554,0.000344777,0.000738228,0.000532144,0.000707934,0.000531721,0.000643178,0.000556323,0.000591446,0.000404032,0.000497978,0.000367627,0.000387216
0.000461253,0.000429753,0.000223996,0.000464165,0.000553635,0.00030245,0.000556566,0.00061416,0.000494756,0.000419532,0.000475681,0.000393335,0.000595657,0.000435486,0.000523857,0.000683057,0.000687999
0.000434714,0.000425558,0.00022503,0.000432616,0.000552427,0.000281074,0.000537908,0.000538483,0.000456053,0.000417086,0.000467129,0.000404508,0.000604392,0.000539144,0.000593137,0.000739055,0.000674516
0.000397934,0.000547476,0.000324713,0.000522315,0.000661469,0.000290862,0.000657882,0.000543321,0.000626902,0.000510996,0.000582685,0.000552682,0.000617757,0.000441245,0.000617758,0.000659567,0.000608155
0.000784569,0.00055312,0.000369592,0.000521194,0.000659198,0.000325082,0.000674353,0.000776039,0.000578189,0.000528059,0.000561944,0.000597016,0.000643161,0.000496934,0.00078001,0.000671053,0.000707071
0.000349992,0.000441278,0.000275745,0.000429404,0.000542801,0.000327991,0.000551231,0.000509086,0.000486812,0.000482651,0.00043869,0.000510122,0.000638918,0.000772676,0.000684819,0.000629519,0.000639965
0.000431481,0.000396471,0.000198212,0.000356004,0.000470153,0.000313944,0.000474798,0.000612543,0.000363605,0.000433799,0.000371404,0.000439977,0.000639414,0.000803099,0.000696664,0.000742327,0.000681546
0.000358562,0.000368034,0.000168129,0.000303482,0.000450663,0.000281592,0.000417263,0.0004383,0.000365577,0.00041735,0.000362087,0.000411823,0.000601175,0.000849765,0.000663154,0.000653877,0.00061469
0.000386208,0.000365917,0.000128577,0.000351033,0.000466184,0.000260521,0.00042784,0.0005009,0.000440682,0.000392812,0.000355233,0.000395521,0.000625409,0.000810754,0.000634349,0.000683554,0.000770874
0.000440872,0.000377889,0.000167541,0.000381323,0.000483441,0.000281275,0.000462459,0.000504185,0.000368737,0.000394865,0.000369018,0.000409143,0.000604801,0.000430369,0.000620179,0.00075105,0.00075203
0.000426262,0.000511843,0.000296895,0.00049085,0.000602036,0.000361359,0.000607381,0.000613621,0.000556428,0.000470424,0.000494842,0.00054073,0.000609159,0.000634325,0.000580675,0.000671407,0.000679899
0.000711161,0.000562659,0.000334227,0.000529257,0.000649556,0.000432049,0.00067951,0.000755678,0.00062611,0.000505426,0.000571737,0.000594686,0.000610279,0.000644433,0.000586483,0.000605676,0.000617872
0.000441943,0.000476949,0.000287049,0.000458959,0.000586358,0.000449728,0.000624559,0.000557516,0.000560726,0.000487147,0.000518187,0.000542788,0.000591937,0.000626716,0.000572501,0.000574429,0.000602646
0.000610088,0.000486357,0.000307978,0.000478192,0.000604071,0.000429982,0.000657071,0.000588701,0.00056778,0.00048922,0.000507599,0.000556831,0.000605029,0.000616122,0.000574076,0.000561668,0.000559104
0.00060561,0.000541262,0.000367009,0.000513575,0.000652442,0.000377987,0.000703094,0.000611954,0.00059122,0.000507578,0.000543873,0.000601223,0.00059355,0.000442272,0.000546025,0.000646041,0.000575708
0.000412758,0.000514472,0.000324415,0.000491842,0.000613633,0.000315997,0.000646227,0.000551912,0.000570858,0.000472357,0.000494985,0.000548922,0.000598609,0.000422703,0.000552725,0.000754266,0.000607714
