TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000491348,0.000543182,0.000570325,0.000597286,0.000537469,0.000428642,0.00036204,0.000475689,0.000451325,0.000496853,0.000581725,0.00026479,0.000516956,0.000370026,0.000351669,0.000239821,0.000257215
0.001083124,0.000608182,0.000608366,0.000661439,0.000599748,0.000466548,0.000393042,0.000628399,0.000568921,0.00054744,0.00064556,0.000307719,0.000514569,0.000373192,0.000351773,0.000290115,0.000278446
0.000282867,0.000618039,0.000579014,0.000665801,0.000596251,0.000485215,0.000349767,0.000388998,0.000620291,0.000540635,0.000632079,0.000275425,0.000515829,0.000378961,0.000359851,0.000270331,0.000266335
0.00037463,0.00057195,0.000528465,0.000613351,0.000541029,0.000481966,0.000273915,0.000404947,0.000556253,0.000488358,0.000556336,0.000205529,0.000518551,0.000384136,0.000372652,0.00054673,0.000531861
0.000353604,0.000461675,0.000452629,0.000502014,0.000435756,0.000456584,0.000204099,0.000410923,0.000355884,0.000441896,0.000473778,0.000173267,0.000522477,0.000400349,0.000392892,0.000597225,0.000531244
0.000317143,0.000317886,0.00038385,0.000375455,0.000316212,0.000410477,0.00010694,0.000392794,0.000141988,0.000396263,0.000373158,0.000169025,0.000532249,0.000396322,0.000405892,0.000531848,0.000485812
0.00041041,0.000254187,0.000340544,0.000323882,0.000254736,0.000364067,5.53E-05,0.000406675,0.00024857,0.00034803,0.000273492,0.000152867,0.000538686,0.000426147,0.00046292,0.000559964,0.000596324
0.000311928,0.000321366,0.000367383,0.000378022,0.000316676,0.000346334,0.00015233,0.00045433,0.00047554,0.000373048,0.000288759,0.000161722,0.000552841,0.000446865,0.000451412,0.000526266,0.000546171
0.000418777,0.000373728,0.000471515,0.000423813,0.000425209,0.000369246,0.000281973,0.000451427,0.00029693,0.000426362,0.000405761,0.000205967,0.000539446,0.000451558,0.000458724,0.000585815,0.000553326
0.000315332,0.000374054,0.000536626,0.000436707,0.000446422,0.000409523,0.000319271,0.00046993,0.000307907,0.00041674,0.000444083,0.000222165,0.000523768,0.00044859,0.000456042,0.000529317,0.000509699
0.000353642,0.00032873,0.000483184,0.000404105,0.000364512,0.0004479,0.000273976,0.000430495,0.000271313,0.000363965,0.00037775,0.000190664,0.000539451,0.00044312,0.000454125,0.000575588,0.000681269
0.000395317,0.000331499,0.000396061,0.000382385,0.000331031,0.000471478,0.000260737,0.000516536,0.000350626,0.000328081,0.000307526,0.000181609,0.000520698,0.000438651,0.000442601,0.000557943,0.000627442
